TransactionID,CustomerID,TransactionDate,Amount,Merchant,MerchantCategory,Location,Channel,IsFraud
TXN104481,CUST01163,2025-03-23 08:58:00,49.28,Shell Gas,Fuel,Delhi,POS,0
TXN108971,CUST00053,17-06-2025 03:21:00,118.86,BestBuy,Electronics,Singapore,POS,0
TXN101766,CUST00944,25-09-2025 01:25:00,39.59,SHELL GAS,Fuel,mumbai,POS,0
TXN102693,CUST00335,2025-04-22 03:18:00,75.92,APPLESTORE,Electronics,London,POS,0
TXN106887,CUST00930,09/13/2025 01:53,58.65,Amazon,Retail,New York,Online,0
TXN105842,CUST00043,18-04-2025 22:46:00,123.83,delta airlines,Travel,chicago,Online,0
TXN100728,CUST00224,02/14/2025 15:46,50.05,SHELL GAS,Fuel,PHOENIX,Mobile App,0
TXN100611,CUST00358,2025-03-03T22:33:00,151.82,starbucks,Food,New York,POS,0
TXN107848,CUST00737,2025-07-02 20:42:00,32.27,  Uber  ,Travel,Los Angeles,Online,0
TXN105781,CUST00827,2025-03-31T16:41:00,22.49,starbucks,Food,MUMBAI,Mobile App,0
TXN105291,CUST00966,2025-03-11 04:50:00,100.73,Walmart,Retail,New York,Mobile App,0
TXN107164,CUST00184,05-05-2025 03:58:00,40.75,TARGET,Retail,phoenix,POS,0
TXN106824,CUST00757,2025-02-01T17:33:00,51.04,Costco,Retail,london,POS,0
TXN106122,CUST01075,2025-08-03 19:02:00,98.62,uber,Travel,  Los Angeles  ,Online,0
TXN105736,CUST00305,2025-01-20T02:54:00,71.2,Uber,Travel,CHICAGO,POS,0
TXN101358,CUST01139,2025-04-09 19:41:00,166.48,ATM Withdrawal,Cash,  New York  ,Mobile App,0
TXN102255,CUST00316,2025-03-08 10:33:00,52.78,Costco,Retail,DELHI,POS,0
TXN102987,CUST00888,24-09-2025 10:40:00,71.48,TARGET,Retail,BENGALURU,Online,0
TXN103248,CUST00956,06/03/2025 09:50,195.67,PayPal Transfer,Transfer,DELHI,ATM,0
TXN105891,CUST00826,07/20/2025 17:43,171.52,atm withdrawal,Cash,CHICAGO,Mobile App,0
TXN105451,CUST01028,08/06/2025 16:59,-238.94,walmart,Retail,Delhi,Online,0
TXN106832,CUST00350,2025-09-03T16:15:00,11.99,BestBuy,Electronics,New York,Mobile App,0
TXN103148,CUST01111,2025-01-04 20:06:00,35.12,  Target  ,Retail,Chicago,POS,0
TXN104975,CUST00526,2025-08-10T14:14:00,19.59,Marriott Hotels,Travel,CHICAGO,Online,0
TXN108574,CUST00542,2025-02-16 05:59:00,93.54,Uber,Travel,  Singapore  ,ATM,0
TXN100040,CUST01084,06/03/2025 21:06,62.83,Amazon,Retail,chicago,ATM,0
TXN105417,CUST01141,2025-06-02 15:46:00,96.18,amazon,Retail,Mumbai,ATM,0
TXN103139,CUST00867,18-02-2025 10:27:00,28.62,starbucks,Food,LONDON,Mobile App,0
TXN102274,CUST00224,2025-02-14 01:49:00,24.62,Target,Retail,Delhi,Mobile App,0
TXN106599,CUST00712,07/18/2025 20:07,29.39,AMAZON,Retail,Bengaluru,ATM,0
TXN107826,CUST00569,2025-07-29T01:25:00,45.99,paypal transfer,Transfer,mumbai,ATM,0
TXN108482,CUST01150,2025-08-14 15:02:00,35.21,ATM Withdrawal,Cash,Bengaluru,Online,0
TXN103901,CUST00624,2025-08-25T16:31:00,114.83,AppleStore,Electronics,  Mumbai  ,ATM,0
TXN107703,CUST00642,2025-08-12T03:37:00,31.18,netflix,Subscription,PHOENIX,Online,0
TXN103073,CUST00842,2025-03-07 00:24:00,39.34,Shell Gas,Fuel,los angeles,Mobile App,0
